ARTIGO,AUTOR,INSTITUIÇÃO,UF
https://even3.blob.core.windows.net/anais/799913.pdf,CAROLINA TAMAYO OSORIO,UFMG,MG
https://even3.blob.core.windows.net/anais/800129.pdf,MILTON ROSA,UFOP,MG
https://even3.blob.core.windows.net/anais/801056.pdf,ERIC PAULUCCI,UFMG,MG
https://even3.blob.core.windows.net/anais/801056.pdf,RAFAELA NUNES DE ABREU,UFMG,MG
https://even3.blob.core.windows.net/anais/801225.pdf,DANIEL CLARK OREY,UFOP,MG
https://even3.blob.core.windows.net/anais/801443.pdf,ANA DEL VALLE DUARTE CASTILLO,UFOP,MG
https://even3.blob.core.windows.net/anais/801443.pdf,DANIEL CLARK OREY,UFOP,MG
https://even3.blob.core.windows.net/anais/801657.pdf,CRISTIANE COPPE DE OLIVEIRA,UFU,MG
https://even3.blob.core.windows.net/anais/801742.pdf,CRISTIANE COPPE DE OLIVEIRA,UFU,MG
https://even3.blob.core.windows.net/anais/801751.pdf,CAROLINA TAMAYO OSORIO,UFMG,MG
https://even3.blob.core.windows.net/anais/801751.pdf,ERIC PAULUCCI,UFMG,MG
https://even3.blob.core.windows.net/anais/801942.pdf,CAROLINE PASSOS,UFV,MG
https://even3.blob.core.windows.net/anais/788445.pdf,ANTONIO HILARIO AGUILERA URQUIZA,UFMS,MS
https://even3.blob.core.windows.net/anais/788537.pdf,RHUAN GUILHERME TARDO RIBEIRO,UFGD,MS
https://even3.blob.core.windows.net/anais/788538.pdf,RHUAN GUILHERME TARDO RIBEIRO,UFGD,MS
https://even3.blob.core.windows.net/anais/800902.pdf,JAQUELINO FERNANDES,UFGD,MS
https://even3.blob.core.windows.net/anais/800902.pdf,MARIA APARECIDA MENDES DE OLIVEIRA,UFGD,MS
https://even3.blob.core.windows.net/anais/788178.pdf,JOÃO SEVERINO FILHO,UNEMAT,MT
https://even3.blob.core.windows.net/anais/788178.pdf,KELLY VITÓRIA SERSCHÖN,UNEMAT,MT
https://even3.blob.core.windows.net/anais/788178.pdf,LUCAS VALERIO CAMPOS,UNEMAT,MT
https://even3.blob.core.windows.net/anais/788222.pdf,AURINETE VIEIRA LIJMA DA FONSECA,UNEMAT,MT
https://even3.blob.core.windows.net/anais/788427.pdf,JOÃO SEVERINO FILHO,UNEMAT,MT
https://even3.blob.core.windows.net/anais/788427.pdf,KELLY VITÓRIA SERSCHÖN,UNEMAT,MT
https://even3.blob.core.windows.net/anais/788427.pdf,LUCAS VALERIO CAMPOS,UNEMAT,MT
https://even3.blob.core.windows.net/anais/791528.pdf,ADAILTON ALVES DA SILVA,UNEMAT,MT
https://even3.blob.core.windows.net/anais/791528.pdf,ANDREIA DA SILVA FEITOSA,UNEMAT,MT
https://even3.blob.core.windows.net/anais/791528.pdf,MARIA NAZARÉ SOUZA NASCIMENTO,UNEMAT,MT
https://even3.blob.core.windows.net/anais/791530.pdf,ADAILTON ALVES DA SILVA,UNEMAT,MT
https://even3.blob.core.windows.net/anais/791530.pdf,ANDREIA DA SILVA FEITOSA,UNEMAT,MT
https://even3.blob.core.windows.net/anais/791530.pdf,MARIA NAZARÉ SOUZA NASCIMENTO,UNEMAT,MT
https://even3.blob.core.windows.net/anais/800315.pdf,ADAILTON ALVES DA SILVA,UNEMAT,MT
https://even3.blob.core.windows.net/anais/800315.pdf,JOÃO SEVERINO FILHO,UNEMAT,MT
https://even3.blob.core.windows.net/anais/787197.pdf,LUIZ ANTONIO RIBEIRO NETO DE OLIVEIRA,UFPA,PA
https://even3.blob.core.windows.net/anais/788368.pdf,PABLO RWANY BATISTA RIBEIRO DO VALE,UFPA,PA
https://even3.blob.core.windows.net/anais/788433.pdf,ELTON POMPILIO MACHADO,UEAP,PA
https://even3.blob.core.windows.net/anais/788435.pdf,REINALDO FEIO LIMA,UFPA,PA
https://even3.blob.core.windows.net/anais/789061.pdf,ÉLIDA DE SOUSA PERES,UFPA,PA
https://even3.blob.core.windows.net/anais/789061.pdf,ELIZABETH GOMES SOUZA,UFPA,PA
https://even3.blob.core.windows.net/anais/789065.pdf,JOSÉ SÁVIO BICHO DE OLIVEIRA,UNIFESSPA,PA
https://even3.blob.core.windows.net/anais/796372.pdf,CARMEN  LUCIA  BRAGA  DA  CONCEIÇÃO,UFPA,PA
https://even3.blob.core.windows.net/anais/796372.pdf,ELIZABETH GOMES SOUZA,UFPA,PA
https://even3.blob.core.windows.net/anais/796372.pdf,LUÍS PAULO CARVALHO MONTEIRO,UFPA,PA
https://even3.blob.core.windows.net/anais/796372.pdf,THALYA MARIA ALVES DA SILVA,UFPA,PA
https://even3.blob.core.windows.net/anais/798984.pdf,MARCOS MARQUES FORMIGOSA,UFPA,PA
https://even3.blob.core.windows.net/anais/798984.pdf,RENAN RODRIGUES DO VALE,UFPA,PA
https://even3.blob.core.windows.net/anais/798984.pdf,ROSALINA DAMIãO SOUZA MELO,UFPA,PA
https://even3.blob.core.windows.net/anais/800069.pdf,CARLOS ALDEMIR FARIAS DA SILVA,UFPA,PA
https://even3.blob.core.windows.net/anais/800069.pdf,CARMEN  LUCIA  BRAGA  DA  CONCEIÇÃO,UFPA,PA
https://even3.blob.core.windows.net/anais/800069.pdf,IRAN ABREU MENDES,UFPA,PA
https://even3.blob.core.windows.net/anais/800095.pdf,CARLOS ALDEMIR FARIAS DA SILVA,UFPA,PA
https://even3.blob.core.windows.net/anais/800095.pdf,IRAN ABREU MENDES,UFPA,PA
https://even3.blob.core.windows.net/anais/800095.pdf,RELINALDO PINHO DE OLIVEIRA,UFPA,PA
https://even3.blob.core.windows.net/anais/800139.pdf,ÉLIDA DE SOUSA PERES,UFPA,PA
https://even3.blob.core.windows.net/anais/800401.pdf,JOSÉ SÁVIO BICHO DE OLIVEIRA,UNIFESSPA,PA
https://even3.blob.core.windows.net/anais/800715.pdf,ANA CLÉDINA RODRIGUES GOMES,UFPA,PA
https://even3.blob.core.windows.net/anais/800715.pdf,MATEUS OLIVEIRA MARTINS,UFPA,PA
https://even3.blob.core.windows.net/anais/800715.pdf,VALDINEIA RODRIGUES LIMA,UFPA,PA
